,open,high,low,last,close,volume,date,symbol,exchange
108,143.81,143.87,143.26,143.8,142.13,19821.0,2020-11-23T20:00:00+0000,TM,IEXG
109,143.81,143.86,143.26,143.485,142.13,17997.0,2020-11-23T19:00:00+0000,TM,IEXG
110,29.18,29.325,29.06,29.19,28.78,7292.0,2020-11-23T18:00:00+0000,HMC,IEXG
111,90.11,90.75,89.525,89.89,89.98,18749.0,2020-11-23T18:00:00+0000,SNE,IEXG
112,4.595,4.605,4.555,4.57,4.54,7723.0,2020-11-23T17:00:00+0000,MUFG,IEXG
113,90.11,90.75,89.525,89.77,89.98,15582.0,2020-11-23T17:00:00+0000,SNE,IEXG
114,29.18,29.325,29.11,29.2,28.78,4196.0,2020-11-23T16:00:00+0000,HMC,IEXG
115,2.79,2.815,2.785,2.79,2.77,700.0,2020-11-23T16:00:00+0000,MFG,IEXG
116,6.195,6.2,6.145,6.165,6.14,6242.0,2020-11-23T16:00:00+0000,SMFG,IEXG
117,143.81,143.85,143.56,143.84,142.13,2506.0,2020-11-23T16:00:00+0000,TM,IEXG
118,29.18,29.325,29.11,29.295,28.78,2065.0,2020-11-23T15:00:00+0000,HMC,IEXG
119,2.79,2.815,2.79,,2.77,0.0,2020-11-23T15:00:00+0000,MFG,IEXG
120,6.195,6.2,6.165,6.17,6.14,2885.0,2020-11-23T15:00:00+0000,SMFG,IEXG
121,90.11,90.75,90.11,90.43,89.98,8277.0,2020-11-23T15:00:00+0000,SNE,IEXG
122,78.35,78.35,77.57,77.935,77.15,24704.0,2020-11-21T02:00:00+0000,TOELY,IEXG
123,18.49,18.53,18.41,18.49,18.33,177181.0,2020-11-21T02:00:00+0000,CAJ,IEXG
124,12.9,12.9,12.9,12.9,12.9,6000.0,2020-11-21T02:00:00+0000,CHUEF,IEXG
125,28.81,28.89,28.62,28.78,28.45,707955.0,2020-11-21T02:00:00+0000,HMC,IEXG
126,76.68,77.23,76.68,76.84,77.68,45927.0,2020-11-21T02:00:00+0000,HTHIY,IEXG
127,59.4,59.65,59.4,59.6,58.805,8666.0,2020-11-21T02:00:00+0000,MARUY,IEXG
128,2.75,2.78,2.75,2.77,2.74,125710.0,2020-11-21T02:00:00+0000,MFG,IEXG
129,4.51,4.55,4.49,4.54,4.48,994446.0,2020-11-21T02:00:00+0000,MUFG,IEXG
130,10.66,10.66,10.42,10.605,10.525,110404.0,2020-11-21T02:00:00+0000,PCRFY,IEXG
131,32.0,33.13,32.0,33.13,31.71,171198.0,2020-11-21T02:00:00+0000,SFTBY,IEXG
132,6.11,6.14,6.09,6.14,6.14,650774.0,2020-11-21T02:00:00+0000,SMFG,IEXG
133,11.69,11.69,11.69,11.69,11.69,0.0,2020-11-21T02:00:00+0000,SMTOF,IEXG
134,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-21T02:00:00+0000,TYHOF,IEXG
135,88.91,90.27,88.86,89.98,88.85,624029.0,2020-11-21T02:00:00+0000,SNE,IEXG
136,142.3,143.04,142.07,142.13,140.92,112969.0,2020-11-21T02:00:00+0000,TM,IEXG
137,142.36,142.95,142.16,142.36,140.92,1873.0,2020-11-20T20:00:00+0000,TM,IEXG
138,4.51,4.525,4.485,4.52,4.48,11093.0,2020-11-20T19:00:00+0000,MUFG,IEXG
139,142.36,142.95,142.16,142.31,140.92,1633.0,2020-11-20T19:00:00+0000,TM,IEXG
140,28.82,28.89,28.62,28.67,28.45,5617.0,2020-11-20T18:00:00+0000,HMC,IEXG
141,89.2,89.99,89.09,89.98,88.85,11351.0,2020-11-20T18:00:00+0000,SNE,IEXG
